"item","element_type","width_m","height_m","area_m2","glass_supply_model","wind_load","thermal_performance","price_material_gbp","price_glass_unit_gbp","labour_work_gbp","coating_type","coating_total_gbp","margin_gbp","final_price_gbp","fabrication_time_h"
"24","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","0","37","Qualicoat Class 2","168","248,11","1030,11","5"
"13","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","477","42","75","Qualicoat Seaside","268","267,58","1129,58","5"
"14","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","477","0","37","Qualicoat Seaside","268","205,11","987,11","5"
"15","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","37","75","Qualicoat Seaside","268","265,88","1122,88","5"
"16","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","0","37","Qualicoat Seaside","268","205,11","987,11","5"
"17","Facade","1","1","1","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","32","75","Qualicoat Seaside","268","264,18","1116,18","5"
"18","Facade","1","1","1","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","0","37","Qualicoat Seaside","268","205,11","987,11","5"
"19","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","42","75","Qualicoat Seaside","268","301,58","1263,58","5"
"20","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","0","37","Qualicoat Seaside","268","248,11","1130,11","5"
"21","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","37","75","Qualicoat Seaside","268","299,88","1256,88","5"
"22","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","0","37","Qualicoat Seaside","268","248,11","1130,11","5"
"23","Facade","1","1","1","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","32","75","Qualicoat Seaside","268","298,18","1250,18","5"
"24","Facade","1","1","1","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","0","37","Qualicoat Seaside","268","248,11","1130,11","5"
"1","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","< 0.9 W/m²K","477","42","75","Pre-anodized + Qualicoat Class 1","552","364,14","1510,14","5"
"2","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","< 0.9 W/m²K","477","0","37","Pre-anodized + Qualicoat Class 1","552","205,11","1271,11","5"
"3","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","37","75","Pre-anodized + Qualicoat Class 1","552","362,44","1503,44","5"
"4","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","0.9 – 1.2 W/m²K","477","0","37","Pre-anodized + Qualicoat Class 1","552","205,11","1271,11","5"
"5","Facade","2","2","4","Company supplies glass units (34% full project margin)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","32","75","Pre-anodized + Qualicoat Class 1","552","360,74","1496,74","5"
"6","Facade","2","2","4","External supplier provides glass units (43% material margin only)","< 1.5 kN/m²","1.2 – 1.6 W/m²K","477","0","37","Pre-anodized + Qualicoat Class 1","552","205,11","1271,11","5"
"7","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","42","75","Pre-anodized + Qualicoat Class 1","552","398,14","1644,14","5"
"8","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","< 0.9 W/m²K","577","0","37","Pre-anodized + Qualicoat Class 1","552","248,11","1414,11","5"
"9","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","37","75","Pre-anodized + Qualicoat Class 1","552","396,44","1637,44","5"
"10","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","0.9 – 1.2 W/m²K","577","0","37","Pre-anodized + Qualicoat Class 1","552","248,11","1414,11","5"
"11","Facade","2","2","4","Company supplies glass units (34% full project margin)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","32","75","Pre-anodized + Qualicoat Class 1","552","394,74","1630,74","5"
"12","Facade","2","2","4","External supplier provides glass units (43% material margin only)","1.5 – 1.6 kN/m²","1.2 – 1.6 W/m²K","577","0","37","Pre-anodized + Qualicoat Class 1","552","248,11","1414,11","5"
